Branch,PlusCount,MinusCount,UniqueCommitCount,Notes
feat/TC-100-bootstrap-repo,2,0,4,Has unique commits not in main
feat/TC-200-schemas-and-io,5,0,7,Has unique commits not in main
feat/TC-201-emergency-mode,8,0,10,Has unique commits not in main
feat/TC-250-shared-libs-governance,10,0,12,Has unique commits not in main
feat/TC-300-orchestrator-langgraph,12,0,14,Has unique commits not in main
feat/TC-400-repo-scout,26,0,28,Has unique commits not in main
feat/TC-401-clone-resolve-shas,18,0,20,Has unique commits not in main
feat/TC-402-fingerprint,21,0,23,Has unique commits not in main
feat/TC-403-discover-docs,22,0,24,Has unique commits not in main
feat/TC-404-discover-examples,24,0,26,Has unique commits not in main
feat/TC-410-facts-builder,34,0,36,Has unique commits not in main
feat/TC-411-extract-claims,28,0,30,Has unique commits not in main
feat/TC-412-map-evidence,30,0,32,Has unique commits not in main
feat/TC-413-detect-contradictions,32,0,34,Has unique commits not in main
feat/TC-420-snippet-curator,41,0,43,Has unique commits not in main
feat/TC-421-extract-doc-snippets,37,0,39,Has unique commits not in main
feat/TC-422-extract-code-snippets,39,0,41,Has unique commits not in main
feat/TC-430-ia-planner,43,0,45,Has unique commits not in main
feat/TC-440-section-writer,45,0,47,Has unique commits not in main
feat/TC-450-linker-and-patcher,47,0,49,Has unique commits not in main
feat/TC-460-validator,50,0,52,Has unique commits not in main
feat/TC-470-fixer,55,0,57,Has unique commits not in main
feat/TC-480-pr-manager,57,0,59,Has unique commits not in main
feat/TC-500-clients-services,16,0,18,Has unique commits not in main
feat/TC-510-mcp-server-setup,58,0,60,Has unique commits not in main
feat/TC-511-mcp-tool-registration,59,0,61,Has unique commits not in main
feat/TC-512-mcp-tool-handlers,60,0,62,Has unique commits not in main
feat/TC-520-telemetry-api-setup,63,0,65,Has unique commits not in main
feat/TC-521-telemetry-run-endpoints,64,0,66,Has unique commits not in main
feat/TC-522-telemetry-batch-upload,65,0,67,Has unique commits not in main
feat/TC-523-telemetry-metadata-endpoints,66,0,68,Has unique commits not in main
feat/TC-530-cli-entrypoints,62,0,64,Has unique commits not in main
feat/TC-540-content-path-resolver,69,0,71,Has unique commits not in main
feat/TC-550-hugo-config,71,0,73,Has unique commits not in main
feat/TC-560-determinism-harness,74,0,76,Has unique commits not in main
feat/TC-570-extended-gates,52,0,54,Has unique commits not in main
feat/TC-571-perf-security-gates,53,0,55,Has unique commits not in main
feat/TC-580-observability,77,0,79,Has unique commits not in main
feat/TC-590-security-handling,80,0,82,Has unique commits not in main
feat/TC-600-failure-recovery,85,0,87,Has unique commits not in main
feat/golden-2pilots-20260130,12,0,12,Has unique commits not in main
feat/golden-2pilots-20260201,3,0,3,Has unique commits not in main
feat/pilot-e2e-golden-3d-20260129,2,0,3,Has unique commits not in main
feat/pilot1-hardening-vfv-20260130,1,0,2,Has unique commits not in main
feat/tc902_hygiene_20260201,2,0,2,Has unique commits not in main
feat/tc902_w4_impl_20260201,2,0,2,Has unique commits not in main
fix/env-gates-20260128-1615,97,0,134,Has unique commits not in main
fix/main-green-20260128-1505,95,0,131,Has unique commits not in main
fix/pilot1-w4-ia-planner-20260130,2,0,3,Has unique commits not in main
impl/tc300-wire-orchestrator-20260128,117,0,119,Has unique commits not in main
integrate/main-e2e-20260128-0837,92,0,127,Has unique commits not in main
main,0,0,0,All commits in main (patch-equivalent)
